케이블관리번호,법정동코드,시도명,시군구명,읍면동명,리명,케이블매설위치코드명,케이블코어수,접속코어수,사용코어수,케이블용도코드명,준공거리M,지도거리M,공간위치G,중계기회선수,중요선로
48330CA017528,4833025321,경남,양산시,물금읍,물금리,지중,144,27,18,#,380,366,"LINESTRING (128.99092694154896 35.30707678551814, 128.99096321953098 35.3071151490651, 128.9924055009552 35.30849447661062, 128.99350853948013 35.309553825382174, 128.9935559840901 35.30955443673207)",14,
48330CA014569,4833025321,경남,양산시,물금읍,물금리,가공,24,6,4,#,209,138.64,"LINESTRING (128.986912018535 35.3099169595922, 128.986921830003 35.309923837254, 128.987132995261 35.3100720321151, 128.987201032161 35.3099948617071, 128.987782115735 35.3095725082784, 128.987859336391 35.3095318706471, 128.988045090511 35.3096671079846)",,
48330CA016715,4833011800,경남,양산시,주진동,#,가공,36,3,3,#,830,838,"LINESTRING (129.1343852259181 35.402488948313334, 129.1343903455988 35.40249113293073, 129.13453540875528 35.402462404449004, 129.13425863196423 35.4026442089009, 129.1338480165753 35.4028526165266, 129.1334080353558 35.403072407769315, 129.13301789283636 35.40311036576525, 129.13299040242907 35.40331696994143, 129.132867155364 35.4033276638999, 129.132659244125 35.4033474754449, 129.13240623706662 35.40417684446779, 129.13207341298522 35.40439546412082, 129.13157428466943 35.404626472476075, 129.1311229849461 35.404908672629226, 129.131206452628 35.4052575748568, 129.12758042182227 35.40582197113276)",3,
48330CA021452,4833033021,경남,양산시,상북면,석계리,가공,72,52,40,#,271,266,"LINESTRING (129.062380980743 35.4173240295665, 129.06251033442453 35.41758609544201, 129.0627461192057 35.417845767362806, 129.062938092976 35.41808233967226, 129.06318722179765 35.41835486152909, 129.06334580133316 35.41855173343276, 129.06348903153005 35.41872586371662, 129.0635474183538 35.418797116016535, 129.06362937219203 35.41889591355615, 129.06378167973097 35.41905807346282, 129.06397463232977 35.4193223826657)",11,
48330CA021341,4833032028,경남,양산시,원동면,화제리,가공,48,2,2,#,274,285,"LINESTRING (128.97743200290103 35.36000141345646, 128.97739377826082 35.36018755215039, 128.977046449788 35.3603494486008, 128.976604293766 35.3605730738475, 128.976207908159 35.3607931011683, 128.976025885915 35.3609126716408, 128.975532672282 35.3613336972022, 128.975136935037 35.3616655474697)",2,
48330CA017544,4833012100,경남,양산시,매곡동,#,가공,72,60,39,#,121,124.39,"LINESTRING (129.17029012216926 35.36709380330956, 129.169787091336 35.3671049054353, 129.169354996323 35.367085362784, 129.16903560917697 35.366846166149465)",48,
48330CA020837,4833033023,경남,양산시,상북면,소토리,가공,72,21,8,#,573,563,"LINESTRING (129.05644075030526 35.384617504559856, 129.05665486144792 35.384977418611705, 129.05705579586336 35.38546155321577, 129.05712616639255 35.38587996356551, 129.05725052877128 35.38616587853737, 129.05743982370043 35.386590136919956, 129.0577075489854 35.38695999334229, 129.05786390914886 35.3873352298904, 129.05801132632678 35.38768367515217, 129.05810984987008 35.38792273052485, 129.0582994357728 35.388397415459835, 129.0583980098809 35.38863900557771, 129.0584306639804 35.38895033213666, 129.058566106395 35.3893245602511)",6,
48330CA019648,4833033021,경남,양산시,상북면,석계리,가공,48,6,6,#,108,90,"LINESTRING (129.05766869437787 35.40770078919825, 129.05766857767122 35.40767684267369, 129.0576262046778 35.40756722829585, 129.05756922313256 35.40725283534789, 129.0575499948626 35.40691512832658, 129.0575555800334 35.40690897669469, 129.0575500867226 35.40690217305614)",3,
48330CA014681,4833032023,경남,양산시,원동면,내포리,가공,36,1,1,#,76,70,"LINESTRING (128.96672642842404 35.40936249902449, 128.96708881798318 35.409313462585175, 128.96735088820748 35.409171307567284, 128.96744090598682 35.409167889332096)",,
48330CA015378,4833025322,경남,양산시,물금읍,증산리,가공,144,50,35,#,145,144,"LINESTRING (129.0102294518376 35.28979682428067, 129.01057116142394 35.289568080812415, 129.010736469258 35.2894721203046, 129.010858611871 35.2894078713509, 129.011003834939 35.2894323746842, 129.01107182641087 35.28969745845215, 129.01138924455532 35.28965550149098)",21,
48330CA014842,4833034025,경남,양산시,하북면,삼수리,가공,24,12,3,#,838,841,"LINESTRING (129.079325761142 35.47209102983699, 129.07950151790314 35.472488374327476, 129.079599097411 35.4730387398984, 129.079800255556 35.4734710521254, 129.079846595284 35.4738540373306, 129.079790891646 35.474198313693, 129.079931448227 35.4745009005968, 129.080134178223 35.4748001165952, 129.080284865633 35.4750668220806, 129.080565806777 35.4754614887875, 129.080823379093 35.4758458306553, 129.081071804107 35.4762216457865, 129.081077105858 35.4764127538567, 129.081008764391 35.4766201503931, 129.080870604917 35.4769777060178, 129.080741598758 35.477358499113, 129.080665280542 35.47757144772, 129.08064276842 35.477836746675, 129.080650778472 35.4780748033581, 129.08069309251 35.4784323107831, 129.08077255218322 35.478904502556794, 129.080799666873 35.4790538247001, 129.0809458537251 35.47924190454382)",4,
48330CA031185,4833032021,경남,양산시,원동면,원리,가공,48,0,0,#,69,69,"LINESTRING (128.91941404749835 35.371354325577464, 128.91980200007745 35.371208329123306, 128.91996993565695 35.37099638206797, 128.91998753131853 35.37097483278003)",,
48330CA023128,4833031027,경남,양산시,동면,금산리,가공,24,3,3,#,36,34.57,"LINESTRING (129.02643786504908 35.305044135128774, 129.0260653348089 35.30498220433244)",4,
48330CA018153,4833032028,경남,양산시,원동면,화제리,가공,48,40,37,#,81,92.83,"LINESTRING (128.97685210928185 35.34124926059835, 128.977267268269 35.3415287050788, 128.97759865157272 35.34181764387476)",13,
48330CA008192,4833034021,경남,양산시,하북면,순지리,가공,48,6,6,기타,78,81.69,"LINESTRING (129.09312793202872 35.488981149707755, 129.092817536123 35.4886609030477, 129.092593246893 35.4883894476827)",5,
